"MeasureName","State","ReportYear","Value"
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,99
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,51
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,130
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,44
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,21
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,12
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,8
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,12
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,24
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,41
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,48
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,123
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,75
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,57
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","California",1999,19
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colorado",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colorado",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colorado",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colorado",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colorado",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colorado",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colorado",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Colorado",1999,2
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Connecticut",1999,31
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Connecticut",1999,16
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Connecticut",1999,24
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Connecticut",1999,20
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Connecticut",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Connecticut",1999,20
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Connecticut",1999,20
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Delaware",1999,33
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Delaware",1999,35
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Delaware",1999,35
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","District of Columbia",1999,42
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,6
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,26
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,24
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,7
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,6
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,9
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,6
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Florida",1999,2
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,38
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,11
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,29
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,53
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,60
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,9
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,53
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,76
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,45
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,26
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,57
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,34
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,66
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Georgia",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,23
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,22
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,2
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,8
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,23
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,7
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,7
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,7
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,7
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,12
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,12
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Illinois",1999,7
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,23
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,26
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,28
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,6
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,36
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,30
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,26
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,30
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,20
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,34
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,36
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,30
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,30
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,29
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,25
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,34
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,12
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Indiana",1999,30
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Iowa",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Iowa",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Iowa",1999,8
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Iowa",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Iowa",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Iowa",1999,2
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Iowa",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Iowa",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kansas",1999,8
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kansas",1999,8
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kansas",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,22
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,34
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,21
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,32
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,37
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,31
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,47
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,38
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,31
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,33
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,32
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,50
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,28
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,43
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,25
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,30
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,68
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,11
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,42
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,16
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,47
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Kentucky",1999,28
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,11
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,24
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,16
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,43
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,18
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,26
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,29
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,16
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,24
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,10
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,11
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,19
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,17
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,19
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,21
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,17
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Louisiana",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,7
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,7
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,11
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maine",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,51
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,31
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,24
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,31
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,38
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,48
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,38
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,34
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,33
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,39
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Maryland",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,19
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,3
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,17
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,16
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,12
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Massachusetts",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,28
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,23
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,30
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,28
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,12
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,22
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,9
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,22
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,26
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,23
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,26
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,16
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,32
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,17
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,16
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Michigan",1999,25
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Minnesota",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Minnesota",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Minnesota",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Minnesota",1999,2
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Minnesota",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,20
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,27
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,33
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,12
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,16
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,14
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,33
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,13
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Mississippi",1999,2
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Missouri",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Missouri",1999,6
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Missouri",1999,9
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Missouri",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Missouri",1999,32
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Nebraska",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Nevada",1999,32
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Nevada",1999,1
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Nevada",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","Nevada",1999,2
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","New Mexico",1999,5
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","New Mexico",1999,15
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","New Mexico",1999,4
"Number of days with maximum 8-hour average ozone concentration over the National Ambient Air Quality Standard","New Mexico",1999,3
