"Indicator","Phase","State","Value","Year","Month"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nevada",34.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Hampshire",34.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Jersey",37.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Mexico",34.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New York",41.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Carolina",34.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Dakota",27.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Ohio",35.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oklahoma",34.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oregon",36.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Pennsylvania",35.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Rhode Island",34.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Carolina",33.3,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Dakota",25.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Tennessee",33.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Texas",34.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Utah",34.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Vermont",33.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Virginia",33.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Washington",35,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","West Virginia",34.3,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wisconsin",31.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wyoming",31,"2020","May"
"Symptoms of Depressive Disorder","1","Alabama",22.5,"2020","May"
"Symptoms of Depressive Disorder","1","Alaska",25.1,"2020","May"
"Symptoms of Depressive Disorder","1","Arizona",25.3,"2020","May"
"Symptoms of Depressive Disorder","1","Arkansas",24.5,"2020","May"
"Symptoms of Depressive Disorder","1","California",22.8,"2020","May"
"Symptoms of Depressive Disorder","1","Colorado",23.6,"2020","May"
"Symptoms of Depressive Disorder","1","Connecticut",21.5,"2020","May"
"Symptoms of Depressive Disorder","1","Delaware",23.3,"2020","May"
"Symptoms of Depressive Disorder","1","District of Columbia",30.3,"2020","May"
"Symptoms of Depressive Disorder","1","Florida",24.8,"2020","May"
"Symptoms of Depressive Disorder","1","Georgia",25.6,"2020","May"
"Symptoms of Depressive Disorder","1","Hawaii",16.8,"2020","May"
"Symptoms of Depressive Disorder","1","Idaho",17,"2020","May"
"Symptoms of Depressive Disorder","1","Illinois",29.2,"2020","May"
"Symptoms of Depressive Disorder","1","Indiana",19.9,"2020","May"
"Symptoms of Depressive Disorder","1","Iowa",18.1,"2020","May"
"Symptoms of Depressive Disorder","1","Kansas",16.7,"2020","May"
"Symptoms of Depressive Disorder","1","Kentucky",25.6,"2020","May"
"Symptoms of Depressive Disorder","1","Louisiana",30,"2020","May"
"Symptoms of Depressive Disorder","1","Maine",17.1,"2020","May"
"Symptoms of Depressive Disorder","1","Maryland",24.6,"2020","May"
"Symptoms of Depressive Disorder","1","Massachusetts",18.9,"2020","May"
"Symptoms of Depressive Disorder","1","Michigan",23.4,"2020","May"
"Symptoms of Depressive Disorder","1","Minnesota",18.4,"2020","May"
"Symptoms of Depressive Disorder","1","Mississippi",35.5,"2020","May"
"Symptoms of Depressive Disorder","1","Missouri",24.1,"2020","May"
"Symptoms of Depressive Disorder","1","Montana",20.8,"2020","May"
"Symptoms of Depressive Disorder","1","Nebraska",21.6,"2020","May"
"Symptoms of Depressive Disorder","1","Nevada",31.2,"2020","May"
"Symptoms of Depressive Disorder","1","New Hampshire",23.3,"2020","May"
"Symptoms of Depressive Disorder","1","New Jersey",26.4,"2020","May"
"Symptoms of Depressive Disorder","1","New Mexico",29,"2020","May"
"Symptoms of Depressive Disorder","1","New York",29.2,"2020","May"
"Symptoms of Depressive Disorder","1","North Carolina",20.2,"2020","May"
"Symptoms of Depressive Disorder","1","North Dakota",20.2,"2020","May"
"Symptoms of Depressive Disorder","1","Ohio",26.4,"2020","May"
"Symptoms of Depressive Disorder","1","Oklahoma",20.7,"2020","May"
"Symptoms of Depressive Disorder","1","Oregon",17.8,"2020","May"
"Symptoms of Depressive Disorder","1","Pennsylvania",23,"2020","May"
"Symptoms of Depressive Disorder","1","Rhode Island",22.8,"2020","May"
"Symptoms of Depressive Disorder","1","South Carolina",25.6,"2020","May"
"Symptoms of Depressive Disorder","1","South Dakota",20.5,"2020","May"
"Symptoms of Depressive Disorder","1","Tennessee",21.7,"2020","May"
"Symptoms of Depressive Disorder","1","Texas",25.7,"2020","May"
"Symptoms of Depressive Disorder","1","Utah",22.6,"2020","May"
"Symptoms of Depressive Disorder","1","Vermont",26.8,"2020","May"
"Symptoms of Depressive Disorder","1","Virginia",20.6,"2020","May"
"Symptoms of Depressive Disorder","1","Washington",22.9,"2020","May"
"Symptoms of Depressive Disorder","1","West Virginia",31.8,"2020","May"
"Symptoms of Depressive Disorder","1","Wisconsin",22.9,"2020","May"
"Symptoms of Depressive Disorder","1","Wyoming",18.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Alabama",27.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Alaska",27.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Arizona",34.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Arkansas",29.1,"2020","May"
"Symptoms of Anxiety Disorder","1","California",31.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Colorado",29.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Connecticut",29.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Delaware",24.9,"2020","May"
"Symptoms of Anxiety Disorder","1","District of Columbia",36.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Florida",27.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Georgia",29.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Hawaii",20.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Idaho",25,"2020","May"
"Symptoms of Anxiety Disorder","1","Illinois",35.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Indiana",31.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Iowa",20.3,"2020","May"
"Symptoms of Anxiety Disorder","1","Kansas",25.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Kentucky",29.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Louisiana",34.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Maine",28.9,"2020","May"
"Symptoms of Anxiety Disorder","1","Maryland",30.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Massachusetts",28.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Michigan",27,"2020","May"
"Symptoms of Anxiety Disorder","1","Minnesota",22.9,"2020","May"
"Symptoms of Anxiety Disorder","1","Mississippi",38.3,"2020","May"
"Symptoms of Anxiety Disorder","1","Missouri",37.8,"2020","May"
"Symptoms of Anxiety Disorder","1","Montana",24.9,"2020","May"
"Symptoms of Anxiety Disorder","1","Nebraska",29.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Nevada",34,"2020","May"
"Symptoms of Anxiety Disorder","1","New Hampshire",30.4,"2020","May"
"Symptoms of Anxiety Disorder","1","New Jersey",36.3,"2020","May"
"Symptoms of Anxiety Disorder","1","New Mexico",30.2,"2020","May"
"Symptoms of Anxiety Disorder","1","New York",33,"2020","May"
"Symptoms of Anxiety Disorder","1","North Carolina",25.9,"2020","May"
"Symptoms of Anxiety Disorder","1","North Dakota",25.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Ohio",26.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Oklahoma",27.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Oregon",26.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Pennsylvania",28.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Rhode Island",26.9,"2020","May"
"Symptoms of Anxiety Disorder","1","South Carolina",27.9,"2020","May"
"Symptoms of Anxiety Disorder","1","South Dakota",26.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Tennessee",29.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Texas",32.4,"2020","May"
"Symptoms of Anxiety Disorder","1","Utah",26,"2020","May"
"Symptoms of Anxiety Disorder","1","Vermont",31.8,"2020","May"
"Symptoms of Anxiety Disorder","1","Virginia",26.8,"2020","May"
"Symptoms of Anxiety Disorder","1","Washington",28.5,"2020","May"
"Symptoms of Anxiety Disorder","1","West Virginia",34.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Wisconsin",25.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Wyoming",22.5,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Alabama",30.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Alaska",35.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Arizona",38.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Arkansas",33,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","California",34.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Colorado",32.2,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Connecticut",36,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Delaware",31.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","District of Columbia",40.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Florida",33.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Georgia",34.3,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Hawaii",27.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Idaho",29.2,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Illinois",41.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Indiana",34.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Iowa",26.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kansas",28,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Kentucky",37.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Louisiana",42.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maine",32.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Maryland",34.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Massachusetts",31,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Michigan",33.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Minnesota",27.2,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Mississippi",48.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Missouri",41.3,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Montana",27.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nebraska",33.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Nevada",38.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Hampshire",35,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Jersey",39.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New Mexico",39.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","New York",36.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Carolina",28.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","North Dakota",28.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Ohio",32.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oklahoma",31,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Oregon",29.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Pennsylvania",32,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Rhode Island",33.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Carolina",33.1,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","South Dakota",29.8,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Tennessee",34.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Texas",35.9,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Utah",30.4,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Vermont",35.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Virginia",30.6,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Washington",35,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","West Virginia",39,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wisconsin",29.7,"2020","May"
"Symptoms of Anxiety Disorder or Depressive Disorder","1","Wyoming",27.9,"2020","May"
"Symptoms of Depressive Disorder","1","Alabama",19.6,"2020","May"
"Symptoms of Depressive Disorder","1","Alaska",23.6,"2020","May"
"Symptoms of Depressive Disorder","1","Arizona",20,"2020","May"
"Symptoms of Depressive Disorder","1","Arkansas",28.9,"2020","May"
"Symptoms of Depressive Disorder","1","California",28.7,"2020","May"
"Symptoms of Depressive Disorder","1","Colorado",23.7,"2020","May"
"Symptoms of Depressive Disorder","1","Connecticut",20.2,"2020","May"
"Symptoms of Depressive Disorder","1","Delaware",21.8,"2020","May"
"Symptoms of Depressive Disorder","1","District of Columbia",25.9,"2020","May"
"Symptoms of Depressive Disorder","1","Florida",24.3,"2020","May"
"Symptoms of Depressive Disorder","1","Georgia",24.8,"2020","May"
"Symptoms of Depressive Disorder","1","Hawaii",21.3,"2020","May"
"Symptoms of Depressive Disorder","1","Idaho",18.1,"2020","May"
"Symptoms of Depressive Disorder","1","Illinois",24.3,"2020","May"
"Symptoms of Depressive Disorder","1","Indiana",24.5,"2020","May"
"Symptoms of Depressive Disorder","1","Iowa",18.6,"2020","May"
"Symptoms of Depressive Disorder","1","Kansas",21.2,"2020","May"
"Symptoms of Depressive Disorder","1","Kentucky",22.8,"2020","May"
"Symptoms of Depressive Disorder","1","Louisiana",26.5,"2020","May"
"Symptoms of Depressive Disorder","1","Maine",25.6,"2020","May"
"Symptoms of Depressive Disorder","1","Maryland",20.8,"2020","May"
"Symptoms of Depressive Disorder","1","Massachusetts",22.8,"2020","May"
"Symptoms of Depressive Disorder","1","Michigan",27.9,"2020","May"
"Symptoms of Depressive Disorder","1","Minnesota",20,"2020","May"
"Symptoms of Depressive Disorder","1","Mississippi",36.4,"2020","May"
"Symptoms of Depressive Disorder","1","Missouri",24.3,"2020","May"
"Symptoms of Depressive Disorder","1","Montana",21.1,"2020","May"
"Symptoms of Depressive Disorder","1","Nebraska",20.4,"2020","May"
"Symptoms of Depressive Disorder","1","Nevada",26.9,"2020","May"
"Symptoms of Depressive Disorder","1","New Hampshire",20.3,"2020","May"
"Symptoms of Depressive Disorder","1","New Jersey",26.9,"2020","May"
"Symptoms of Depressive Disorder","1","New Mexico",28.4,"2020","May"
"Symptoms of Depressive Disorder","1","New York",23.8,"2020","May"
"Symptoms of Depressive Disorder","1","North Carolina",22.6,"2020","May"
"Symptoms of Depressive Disorder","1","North Dakota",22.5,"2020","May"
"Symptoms of Depressive Disorder","1","Ohio",27,"2020","May"
"Symptoms of Depressive Disorder","1","Oklahoma",25.7,"2020","May"
"Symptoms of Depressive Disorder","1","Oregon",22.7,"2020","May"
"Symptoms of Depressive Disorder","1","Pennsylvania",19.8,"2020","May"
"Symptoms of Depressive Disorder","1","Rhode Island",18.8,"2020","May"
"Symptoms of Depressive Disorder","1","South Carolina",25.3,"2020","May"
"Symptoms of Depressive Disorder","1","South Dakota",22.7,"2020","May"
"Symptoms of Depressive Disorder","1","Tennessee",25.6,"2020","May"
"Symptoms of Depressive Disorder","1","Texas",24.9,"2020","May"
"Symptoms of Depressive Disorder","1","Utah",21.2,"2020","May"
"Symptoms of Depressive Disorder","1","Vermont",19,"2020","May"
"Symptoms of Depressive Disorder","1","Virginia",25.4,"2020","May"
"Symptoms of Depressive Disorder","1","Washington",23.2,"2020","May"
"Symptoms of Depressive Disorder","1","West Virginia",27,"2020","May"
"Symptoms of Depressive Disorder","1","Wisconsin",20.3,"2020","May"
"Symptoms of Depressive Disorder","1","Wyoming",20.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Alabama",20.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Alaska",26.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Arizona",29,"2020","May"
"Symptoms of Anxiety Disorder","1","Arkansas",28.7,"2020","May"
"Symptoms of Anxiety Disorder","1","California",32.3,"2020","May"
"Symptoms of Anxiety Disorder","1","Colorado",27.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Connecticut",28.7,"2020","May"
"Symptoms of Anxiety Disorder","1","Delaware",26.6,"2020","May"
"Symptoms of Anxiety Disorder","1","District of Columbia",33.3,"2020","May"
"Symptoms of Anxiety Disorder","1","Florida",28.2,"2020","May"
"Symptoms of Anxiety Disorder","1","Georgia",27.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Hawaii",24.1,"2020","May"
"Symptoms of Anxiety Disorder","1","Idaho",24,"2020","May"
"Symptoms of Anxiety Disorder","1","Illinois",28.5,"2020","May"
"Symptoms of Anxiety Disorder","1","Indiana",32.6,"2020","May"
"Symptoms of Anxiety Disorder","1","Iowa",19,"2020","May"
"Symptoms of Anxiety Disorder","1","Kansas",26.7,"2020","May"
